"","X","song","mfcc.1","mfcc.2","mfcc.3","mfcc.4","mfcc.5","mfcc.6","mfcc.7","mfcc.8","mfcc.9","mfcc.10","mfcc.11","mfcc.12","Genre"
"1",1,"1.mp3",153.950059086731,20.2356554927135,-8.76847374069547,7.49353628890333,-15.8035650823133,-0.859918647718621,-8.82751435975221,10.2315177122775,-0.682965749789321,11.5774619019999,-9.00398660967148,2.97845110184631,"classical"
"2",2,"1.mp3",154.433346456582,21.0229695291465,-7.75411108857628,6.53554629274799,-11.2860451123919,-0.647292721751964,-12.4577311772093,3.70680279205548,-5.33857460747809,12.868915654433,1.14505887371301,13.8805509235689,"classical"
"3",3,"1.mp3",164.987752598061,14.3119294536802,-17.6736000964172,4.44525672297435,-23.2175102085903,0.888727103257021,-8.4974575143613,21.937323989064,-1.15751214888775,9.82496412394621,-17.3884593634065,-0.877821683946015,"classical"
"4",4,"1.mp3",162.235430151206,17.1165713164845,-16.4637669194217,3.42446941165792,-21.3031562606005,-3.54589560083922,-15.2991140868922,6.42928333946579,-6.58043812876116,9.81839965435471,-17.5090424189098,-6.30929774973521,"classical"
"5",5,"1.mp3",169.615943238317,15.6390095650018,-15.2054618068218,7.59444208104413,-16.8760439399831,1.73310117219225,-10.3910139688927,13.5029304773168,-5.3199547181599,10.8368584083299,-12.0424213976402,4.16005531934319,"classical"
"6",6,"1.mp3",156.059775053185,20.7391846602067,-12.4107732013377,6.88186349001512,-14.2019591386042,-4.26732059170116,-14.6423259699602,2.83166349913644,-3.86663273090361,18.2410571483099,1.00672688865935,10.9620637218177,"classical"
"7",7,"10.mp3",155.277504600438,28.537299253304,-15.5136493003551,7.80457412844215,-9.3542962403824,3.64573361566504,-7.17594822262936,2.02976650061205,-3.87943640243493,-4.06449395243329,-3.11735402316563,-1.47967505656071,"classical"
"8",8,"10.mp3",155.6096349927,29.3779840858904,-16.9061841271221,8.76858262586231,-10.3040868259138,3.42784518114659,-6.74153844383245,1.76093516501896,-1.4063027816344,-4.97959363832885,-0.980159362051804,-3.18985827702979,"classical"
"9",9,"10.mp3",155.439530324707,27.7677227984394,-14.9608526648268,8.89836067135138,-7.5362178691613,4.78417183377718,-6.80340329014791,1.71436401266676,-5.58510042738931,-1.25360811994952,-4.8017334118973,-1.12910727478678,"classical"
"10",10,"10.mp3",156.89801727276,27.9174001692761,-15.3308628738734,8.26601370061416,-7.56720976798756,5.79577010167751,-6.82978038589271,2.39092109466017,-6.29304918904917,-2.64382178478155,-4.01975866872503,-1.65151901937274,"classical"
