"","mfcc.1","mfcc.2","mfcc.3","mfcc.4","mfcc.5","mfcc.6","mfcc.7","mfcc.8","mfcc.9","mfcc.10","mfcc.11","mfcc.12","Genre"
"10",156.89801727276,27.9174001692761,-15.3308628738734,8.26601370061416,-7.56720976798756,5.79577010167751,-6.82978038589271,2.39092109466017,-6.29304918904917,-2.64382178478155,-4.01975866872503,-1.65151901937274,"classical"
"12",154.349728605434,29.6882939564218,-16.4215353766694,10.0158271948457,-7.52986040171672,4.53051475291088,-4.09855754222055,0.000990031947233599,-2.50368541134999,-4.61225327782512,-0.696414357488738,-2.54376468082146,"classical"
"14",173.443475619063,12.648121346864,-14.2261045385177,12.3818010801283,-10.4346016303877,11.4594732683525,-16.687935189101,17.8105304261441,-14.3697142635497,11.7899883223279,-16.7495380087873,10.1880076232841,"classical"
"18",169.834118657821,13.4562211376305,-13.1023517434624,11.2595268426254,-9.58601649301223,12.7010505373552,-15.275660321412,15.7713517420895,-11.6448036063374,13.6197040706186,-13.5238541117676,11.0080610976041,"classical"
"19",167.595971922605,12.7407318746525,-17.613301484201,17.4624353749165,-17.5713332966911,16.971184325455,-17.6495655058176,14.4013947603878,-13.5197438745116,12.7049551505188,-10.4468679983593,4.13715680129921,"classical"
"23",169.218122311204,13.7066817419556,-19.3010945535852,17.3633795343057,-18.0933336611454,17.0563650998225,-16.4041577216528,13.0143437649976,-12.032365200805,11.3561339533379,-11.9302986522459,2.72898959954665,"classical"
"29",157.935589931064,18.2080440945732,-9.34293319538499,7.09326864114457,-16.3997290630243,1.47632577437412,-12.7766485530066,9.24132796824978,-5.42685151524237,11.5812195339915,-13.4647336697446,-2.57756074522118,"classical"
"30",163.772886530637,16.496609805552,-12.7227988720995,10.1477927408172,-14.9497252725786,4.78197983312636,-13.5105179013167,5.65827947285761,-12.3925568963715,12.4470408704537,-8.39809266335811,8.29773476906286,"classical"
"31",137.470805371375,28.0410715787225,-11.6632349988204,-0.962855902369252,0.981494933843648,-0.57123991535235,-4.95927160866935,0.0693986708380052,-9.71632809369489,-2.74840553964388,-1.7035911693205,-4.96838712926318,"classical"
"32",141.873742492284,30.3047698285727,-15.289891863432,1.5686933272923,1.60067627773735,-1.82080933371903,-3.17765123572334,-2.30187561435671,-7.89581788920969,-1.35847671616448,-1.6617388709168,-6.01578023840313,"classical"
"35",139.556917479809,28.7950961424804,-14.3648876211824,0.00664403671814603,1.15004161783209,-1.98024848776442,-3.92626926449808,-2.55594742503194,-8.7578544235043,1.03033597785481,-4.8903252100469,-6.83456397762899,"classical"
"37",160.754781439537,11.6725544658214,-15.9008300929021,6.83137020256074,-18.1195233852729,3.92956507362923,-20.9568785137999,4.05024134470585,-14.8146282995155,8.0427644983683,-14.3554294817427,1.79532414661826,"classical"
